English,Vietnamese
the,các
be,thì là ở
and,và
of,của
a,một
in,Trong
to,đến
have,có
to,đến
it,nó
I,Tôi
that,cái đó
for,vì
you,bạn
he,anh ta
with,với
on,trên
do,làm
s,S
say,Nói
they,họ
this,đây
but,nhưng
at,tại
we,chúng tôi
his,của anh
from,từ
that,cái đó
not,không phải
n't,Không
by,qua
or,hoặc
she,cô ấy
as,như
what,Gì
go,đi
their,của chúng
will,sẽ
who,ai
can,có thể
get,lấy
if,nếu
all,tất cả các
would,sẽ
her,cô ấy
make,làm
about,Về
my,của tôi
know,biết
as,như
there,ở đó
one,một
up,lên
time,thời gian
year,năm
so,vì thế
think,nghĩ
see,hiểu
which,cái mà
when,khi nào
some,một số
them,họ
people,Mọi người
take,cầm lấy
me,tôi
out,ngoài
into,vào trong
just,chỉ
him,anh ta
come,đến
your,của bạn
now,bây giờ
could,có thể
than,hơn
like,giống
other,khác
then,sau đó
how,thế nào
its,nó là
two,hai
our,của chúng tôi
more,hơn
these,này
want,muốn
way,đường
no,không
look,nhìn
first,Đầu tiên
also,cũng
new,Mới
because,tại vì
day,ngày
more,hơn
use,sử dụng
man,Đàn ông
here,nơi đây
find,tìm thấy
give,cho
thing,Điều
well,Tốt
many,nhiều
only,chỉ có
those,những thứ kia
tell,kể
very,rất
one,một
even,thậm chí
her,cô ấy
back,mặt sau
any,không tí nào
good,tốt
us,chúng ta
through,xuyên qua
woman,người đàn bà
life,đời sống
child,đứa trẻ
there,ở đó
down,xuống
work,công việc
after,sau
call,cuộc gọi
may,có thể
world,thế giới
over,kết thúc
should,Nên
still,còn
try,thử
in,Trong
school,trường học
as,như
last,Cuối cùng
ask,hỏi
too,cũng vậy
need,cần
three,số ba
feel,cảm thấy
when,khi nào
become,trở thành
state,tiểu bang
never,không bao giờ
between,giữa
high,cao
something,thứ gì đó
really,thật sự
most,phần lớn
another,nữa
much,nhiều
own,riêng
family,gia đình
out,ngoài
house,nhà ở
leave,rời bỏ
put,đặt
old,cũ
on,trên
while,trong khi
mean,bần tiện
let,để cho
why,tại sao
president,chủ tịch
keep,giữ cho
same,tương tự
great,Tuyệt
begin,bắt đầu
big,to lớn
seem,hình như
group,tập đoàn
country,quốc gia
talk,nói chuyện
problem,vấn đề
where,ở đâu
turn,xoay
student,sinh viên
every,mọi
hand,tay
help,Cứu giúp
against,chống lại
start,bắt đầu
American,Người Mỹ
part,phần
show,buổi bieu diễn
about,Về
over,kết thúc
might,có thể
such,như là
place,nơi
again,lại
city,thành phố
case,trường hợp
most,phần lớn
few,vài
system,hệ thống
week,tuần
where,ở đâu
company,Công ty
each,mỗi
percent,phần trăm
hear,Nghe
so,vì thế
during,suốt trong
question,câu hỏi
right,bên phải
program,chương trình
work,công việc
run,chạy
number,con số
small,nhỏ bé
government,chính quyền
play,chơi
off,tắt
move,di chuyển
like,giống
always,luôn luôn
night,đêm
believe,tin
today,hôm nay
hold,tổ chức
point,điểm
live,trực tiếp
happen,xảy ra
bring,cung cấp 
next,tiếp theo
without,không có
before,trước
large,lớn
must,phải
all,tất cả các
war,chiến tranh
home,Trang Chủ
under,Dưới
room,phòng
fact,thực tế
area,diện tích
national,Quốc gia
write,viết
money,tiền bạc
right,bên phải
story,câu chuyện
water,nước
mother,mẹ
different,khác nhau
young,trẻ tuổi
month,tháng
lot,rất nhiều
book,sách
eye,con mắt
study,nghiên cứu
job,Công việc
kind,tốt bụng
word,từ
issue,vấn đề
side,cạnh
four,Bốn
business,việc kinh doanh
though,Tuy nhiên
head,cái đầu
far,xa
long,Dài
black,màu đen
million,triệu
both,cả hai
little,nhỏ bé
yes,Vâng
after,sau
since,từ
around,vòng quanh
long,Dài
provide,cung cấp
service,Dịch vụ
important,quan trọng
sit,ngồi
away,xa
friend,bạn
however,tuy nhiên
power,sức mạnh
no,không
yet,nhưng
father,cha
hour,giờ
often,thường
until,cho đến khi
political,chính trị
line,hàng
end,chấm dứt
stand,đứng
among,giữa
game,trò chơi
ever,bao giờ
lose,mất
bad,xấu
member,thành viên
meet,gặp
pay,trả tiền
law,pháp luật
almost,hầu hết
car,xe hơi
later,sau
much,nhiều
name,Tên
include,bao gồm
five,năm
center,trung tâm
once,Một lần
university,trường đại học
continue,tiếp tục
least,ít nhất
real,có thật
white,trắng
change,biến đổi
set,bộ
several,một số
ago,trước kia
information,thông tin
nothing,Không có gì
community,cộng đồng
best,tốt nhất
right,bên phải
idea,ý kiến
lead,chỉ huy
body,thân hình
learn,học
kid,đứa trẻ
minute,phút
table,bàn
whether,cho dù
understand,hiểu biết
team,đội
back,mặt sau
watch,đồng hồ 
together,cùng với nhau
follow,theo dõi
around,vòng quanh
only,chỉ có
stop,dừng lại
face,đối mặt
anything,bất cứ điều gì
public,công cộng
social,xã hội
already,đã sẵn sàng
parent,cha mẹ
speak,nói
create,tạo ra
office,văn phòng
allow,cho phép
level,mức độ
read,đọc
spend,dùng
person,người
door,cửa
sure,chắc chắn rồi
add,cộng
street,đường phố
such,như là
history,lịch sử
party,bữa tiệc
grow,lớn lên
reason,lý do
morning,buổi sáng
open,mở
within,ở trong
change,biến đổi
although,Mặc du
walk,đi bộ
news,Tin tức
health,Sức khỏe
court,tòa án
force,lực lượng
early,sớm
himself,bản thân anh ấy
air,hàng không
low,Thấp
before,trước
art,Mỹ thuật
result,kết quả
moment,khoảng khăc
offer,lời đề nghị
both,cả hai
remember,nhớ
research,nghiên cứu
enough,đầy đủ
girl,con gái
boy,Chàng trai
win,thắng lợi
food,món ăn
across,băng qua
guy,chàng
second,thứ hai
able,có thể
toward,theo hướng
maybe,có lẽ
process,quá trình
off,tắt
everything,mọi điều
appear,hiện ra
age,tuổi tác
policy,chính sách
consider,xem xét
including,bao gồm
probably,có thể
education,giáo dục
love,yêu và quý
actually,thực ra
buy,mua
wait,Chờ đã
die,chết
human,Nhân loại
send,gửi
fee,phí
expect,chờ đợi
serve,phục vụ
sense,ý nghĩa
teacher,giáo viên
home,Trang Chủ
market,thị trường
stay,ở lại
build,xây dựng
nation,dân tộc
fall,rơi
oh,Oh
death,cái chết
plan,kế hoạch
interest,quan tâm
someone,người nào
experience,trải qua
cut,cắt
kill,giết chết
behind,phía sau
reach,với tới
six,sáu
local,địa phương
remain,duy trì
effect,hiệu ứng
suggest,gợi ý
use,sử dụng
control,điều khiển
perhaps,có lẽ
raise,nuôi
class,lớp
late,muộn
little,nhỏ bé
major,chính
yeah,vâng
else,khác
pass,đi qua
photo,ảnh
sell,bán
themselves,chúng tôi
field,đồng ruộng
college,trường đại học
sometimes,thỉnh thoảng
former,trước
development,sự phát triển
require,yêu cầu
along,dọc theo
decide,quyết định
security,Bảo vệ
up,lên
possible,khả thi
effort,cố gắng
role,vai diễn
better,tốt hơn
rate,tỷ lệ
strong,mạnh
music,Âm nhạc
report,báo cáo
leader,lãnh đạo
light,nhẹ
whole,trọn
voice,tiếng nói
color,màu sắc
heart,trái tim
care,quan tâm
police,cảnh sát viên
economic,thuộc kinh tế
wife,người vợ
show,buổi bieu diễn
mind,tâm trí
report,báo cáo
finally,cuối cùng
drug,thuốc
less,ít hơn
return,trở về
according,theo
pull,sự lôi kéo
decision,quyết định
explain,giải thích
carry,mang
develop,"phát triển, xây dựng"
view,lượt xem
free,tự do
hope,mong
even,thậm chí
drive,lái xe
son,Con trai
arm,cánh tay
department,Phòng ban
TRUE,THẬT
price,giá bán
military,quân đội
federal,liên bang
break,phá vỡ
action,hoạt động
value,giá trị
thank,cảm tạ
relationship,mối quan hệ
town,thị trấn
better,tốt hơn
building,Tòa nhà
receive,nhận
society,xã hội
difference,Sự khác biệt
church,nhà thờ
full,đầy
join,tham gia
road,đường bộ
because,tại vì
international,Quốc tế
model,người mẫu
position,Chức vụ
tax,Thuế
director,giám đốc
early,sớm
agree,đồng ý
matter,vấn đề
especially,đặc biệt
form,hình thức
record,ghi lại
special,đặc biệt
ground,đất
whose,của ai
hard,cứng
pick,nhặt
paper,giấy
official,chính thức
season,Mùa
wear,mặc
event,Sự kiện
support,ủng hộ
space,không gian
player,người chơi
everyone,tất cả mọi người
couple,cặp đôi
end,chấm dứt
base,cơ sở
project,dự án
produce,sản xuất
site,Địa điểm
situation,tình hình
hit,đánh
industry,ngành công nghiệp
half,một nửa
activity,hoạt động 
American,Người Mỹ
eat,ăn
itself,chính nó
need,cần
figure,nhân vật
cost,Giá cả
easy,dễ
quite,hoàn toàn
face,đối mặt
picture,hình ảnh
clear,xa lạ
cover,trải ra
describe,mô tả
image,hình ảnh
teach,dạy
wall,Tường
doctor,Bác sĩ
recent,gần đây
product,sản phẩm
data,dữ liệu
practice,thực tiễn
phone,điện thoại
piece,mảnh
certain,chắc chắn
either,một trong hai
oil,dầu
simply,đơn giản
test,kiểm tra
personal,riêng tư
star,ngôi sao
land,đất
third,ngày thứ ba
general,chung
computer,máy tính
movie,bộ phim
worker,người làm việc
open,mở
catch,chụp lấy
type,loại hình
support,ủng hộ
north,Bắc
love,yêu và quý
step,bươc
attention,chú ý
technology,Công nghệ
organization,cơ quan
baby,đứa bé
source,nguồn
draw,vẽ tranh
cause,gây ra
tree,cây
film,phim ảnh
choose,chọn
evidence,chứng cớ
Republican,Đảng Cộng hòa
difficult,khó khăn
century,thế kỷ
nearly,Gần
red,màu đỏ
look,nhìn
point,điểm
window,cửa sổ
park,công viên
period,Giai đoạn
culture,văn hóa
hair,tóc
listen,nghe
chance,cơ hội
less,ít hơn
available,có sẵn
brother,Anh trai
summer,mùa hè
realize,nhận ra
private,riêng
no,không
science,khoa học
letter,bức thư
congress,Hội nghị
condition,tình trạng
short,ngắn
likely,rất có thể
opportunity,cơ hội
rule,qui định
choice,sự lựa chọn
single,Độc thân
place,nơi
patient,bệnh nhân
floor,sàn nhà
term,kỳ hạn
material,vật chất
mile,dặm
administration,sự quản lý
well,Tốt
course,khóa học
defense,phòng thủ
plant,thực vật
energy,năng lượng
campaign,chiến dịch
population,dân số
fire,Cháy
close,gần
daughter,Con gái
involve,liên quan
husband,người chồng
wrong,Sai lầm
certainly,chắc chắn 
increase,tăng
future,Tương lai
south,miền Nam
medical,Y khoa
call,cuộc gọi
board,Cái bảng
anyone,bất cứ ai 
deal,thỏa thuận
hospital,bệnh viện
rest,Lên đỉnh
seek,tìm kiếm
myself,riêng tôi
county,Quận
fight,Đánh nhau
subject,môn học
risk,rủi ro
order,gọi món
west,hướng Tây
economy,nền kinh tế
quickly,một cách nhanh chóng
throw,ném
bed,Giường
officer,nhân viên văn phòng
represent,đại diện
soon,Sớm
top,đứng đầu
fill,lấp đầy
author,tác giả
past,vừa qua
upon,trên
goal,mục tiêu
behavior,hành vi
drop,làm rơi
nature,thiên nhiên
agency,hãng
plan,kế hoạch
recently,gần đây
second,thứ hai
store,cửa hàng
foreign,ngoại quốc
current,hiện hành
performance,màn biểu diễn
bank,ngân hàng
sound,âm thanh
push,đẩy
focus,tiêu điểm
reduce,giảm
note,Ghi chú
before,trước
fine,khỏe
near,ở gần
than,hơn
movement,sự chuyển động
common,phổ thông
other,khác
billion,tỷ
blood,máu
page,trang
concern,bận tâm
poor,nghèo
enter,đi vào
share,đăng lại
each,mỗi
series,loạt
usually,thường xuyên
natural,Thiên nhiên
hot,nóng
race,cuộc đua
language,ngôn ngữ
river,con sông
dead,chết
act,hành động
significant,có ý nghĩa
no,không
response,phản ứng
rise,nổi lên
decade,thập kỷ
article,bài báo
thus,do đó
seven,Bảy
shoot,bắn
east,phía đông
animal,động vật
away,xa
similar,tương tự
save,tiết kiệm
factor,hệ số
central,Trung tâm
occur,xảy ra
committee,ủy ban
serious,nghiêm túc
sport,thể thao
lie,nói dối
beyond,vượt ra ngoài
exactly,một cách chính xác
despite,cho dù
happy,vui mừng
eight,tám
protect,bảo vệ
list,danh sách
size,kích thước
quality,phẩm chất
pressure,sức ép
accept,Chấp nhận
ready,Sẵn sàng
approach,cách tiếp cận
sign,dấu hiệu
attack,tấn công
individual,"riêng biệt, cá nhân, cá thể"
career,sự nghiệp
answer,câu trả lời
dog,chú chó
media,phương tiện truyền thông
thought,tư tưởng
whatever,sao cũng được
determine,mục đích
television,Tivi
meeting,gặp gỡ
scene,sân khấu
success,thành công
prepare,chuẩn bị các
identify,nhận định
press,nhấn
particularly,cụ thể
resource,nguồn
amount,số lượng
argue,tranh cãi
recognize,nhìn nhận
treatment,sự đối đãi
left,bên trái
degree,bằng cấp
stock,cổ phần
indicate,biểu thị
growth,sự phát triển
simple,giản dị
ability,có khả năng
dollar,Đô la
union,liên hiệp
disease,dịch bệnh
everybody,mọi người
wonder,ngạc nhiên
election,cuộc bầu cử
loss,sự mất mát
box,hộp
deal,thỏa thuận
herself,chính cô ấy
fund,quỹ
miss,bỏ lỡ
pretty,đẹp
region,vùng đất
feeling,cảm giác
lay,đặt nằm
training,tập huấn
message,thông điệp
arrive,đến
standard,Tiêu chuẩn
outside,ngoài
fail,Thất bại
trade,buôn bán
staff,Nhân Viên
benefit,lợi ích
character,tính cách
army,quân đội
association,sự kết hợp
operation,hoạt động
present,hiện nay
crime,tội ác
name,Tên
cup,tách
island,Đảo
analysis,phân tích
check,kiểm tra
answer,câu trả lời
photograph,ảnh chụp
glass,thủy tinh
forward,ở đằng trước
authority,thẩm quyền
earth,Trái đất
stage,sân khấu
one,một
act,hành động
sort,loại
station,trạm
clearly,rõ ràng
little,nhỏ bé
compare,so sánh
indeed,thật
public,công cộng
knowledge,hiểu biết
state,tiểu bang
blue,màu xanh da trời
example,thí dụ
strategy,chiến lược
mountain,núi
guess,đoán
sister,chị gái
force,lực lượng
gun,Súng
various,nhiều
laugh,cười
environment,Môi trường
design,thiết kế
sun,mặt trời
lawyer,luật sư
sex,Tình dục
rather,hơn là
artist,họa sĩ
club,câu lạc bộ
prove,chứng tỏ
section,tiết diện
skill,kỹ năng
truth,sự thật
set,bộ
ok,Vâng
manager,người quản lý
executive,"chấp hành, quản lý"
district,quận
claim,yêu cầu
forget,quên đi
hang,hang
entire,toàn bộ
leg,Chân
enough,đầy đủ
design,thiết kế
close,gần
study,nghiên cứu
since,từ
environmental,thuộc về môi trường
establish,thành lập
democratic,Dân chủ
remove,gỡ bỏ
main,chính
professor,giáo sư
financial,tài chính
enjoy,vui thích
network,mạng
sound,âm thanh
discuss,bàn luận
form,hình thức
final,cuối cùng
trial,thử nghiệm
legal,hợp pháp
help,Cứu giúp
cold,lạnh
above,ở trên
rock,đá
that,cái đó
seat,ghế
weapon,vũ khí
song,bài hát
expert,chuyên gia
radio,Đài
nice,đẹp
avoid,tránh xa
memory,kỉ niệm
management,ban quản lý
charge,sạc pin
spring,mùa xuân
card,Thẻ
maintain,duy trì
theory,học thuyết
care,quan tâm
visit,chuyến thăm
imagine,tưởng tượng
finish,kết thúc
statement,bản tường trình
firm,chắc chắn
huge,to lớn
respond,đáp ứng
popular,nổi tiếng
hard,cứng
physical,vật lý
talk,nói chuyện
traditional,cổ truyền
contain,Lưu trữ
peace,hòa bình
green,màu xanh lá
thanks,cảm ơn
control,điều khiển
Democrat,Dân chủ
base,cơ sở
impact,va chạm
structure,kết cấu
tonight,đêm nay
note,Ghi chú
direction,hướng đi
fly,ruồi
onto,trên
king,nhà vua
reveal,bộc lộ
cell,tế bào
religious,Tôn giáo
ball,trái bóng
particular,cụ thể
employee,Nhân viên
head,cái đầu
suddenly,đột ngột
apply,ứng dụng
shake,rung chuyển
cultural,thuộc văn hóa
chair,cái ghế
PM,BUỔI CHIỀU
justice,Sự công bằng
discover,phát hiện
measure,đo lường
politics,chính trị
manage,quản lý
treat,điều trị
yourself,chính bạn
pain,đau đớn
evening,tối
rather,hơn là
unit,đơn vị
affect,ảnh hưởng
play,chơi
production,sản xuất
bit,chút
inside,nội bộ
far,xa
range,phạm vi
top,đứng đầu
worry,lo
perform,trình diễn
necessary,cần thiết
conference,hội nghị
individual,"riêng biệt, cá nhân, cá thể"
candidate,ứng viên
museum,viện bảo tàng
specific,riêng
best,tốt nhất
throughout,khắp
hall,đại sảnh
past,vừa qua
fish,cá
trip,chuyến đi
mention,đề cập đến
edge,bờ rìa
trouble,rắc rối
interview,phỏng vấn
style,Phong cách
middle,ở giữa
cause,gây ra